Country,Year,alpha-3,own_con,own_con2,rental_rate,gep_value,CPI,CPI_2020,gep_value_2020
Peru,2015,PER,931701.177079164,922381.353943318,0.083,76557.6523772954,88.55561353483871,100.0,86451.49564366894
Peru,2016,PER,1011563.0231850002,991177.217612326,0.083,82267.70906182306,91.70569312936644,100.0,89708.39896032463
Peru,2017,PER,978300.8051256,1038954.6496731936,0.083,86233.23592287507,94.4521873529099,100.0,91298.2942371407
Peru,2018,PER,1107161.6751324898,1077860.9117428064,0.083,89462.45567465294,95.87761653367389,100.0,93309.01091312816
Peru,2019,PER,1087131.1973810396,1082734.855766654,0.083,89866.99302863229,98.03689734624962,100.0,91666.50053319965
Peru,2020,PER,1178101.1219994896,1190028.6838852167,0.083,98772.380762473,100.0,100.0,98772.380762473
Peru,2021,PER,1323762.815617263,1314584.142896384,0.083,109110.48386039988,104.271663815,100.0,104640.58965625118
Senegal,2004,SEN,,9111945.327902189,0.315,2870262.7782891896,76.43436008956829,100.0,3755199.592075765
Senegal,2005,SEN,,9761980.498264924,0.315,3075023.856953451,77.74240671508488,100.0,3955400.902654051
Senegal,2006,SEN,,8979180.770797119,0.315,2828441.9428010923,79.3845485630254,100.0,3562962.810773586
Senegal,2007,SEN,,9364044.38374122,0.315,2949673.9808784844,84.03116774569287,100.0,3510214.19790953
Senegal,2008,SEN,,13087471.495407024,0.315,4122553.5210532127,90.20510769048184,100.0,4570199.655654546
Senegal,2009,SEN,,12210209.64319877,0.315,3846216.037607613,88.17727749444472,100.0,4361912.895133249
Senegal,2010,SEN,,12084064.352176731,0.315,3806480.2709356714,89.26069512304547,100.0,4264452.865495228
Senegal,2011,SEN,10408499.6193,10408499.6193,0.315,3278677.3800795,92.29844035846445,100.0,3552256.535804855
Senegal,2012,SEN,,11223472.054130416,0.315,3535393.6970510813,93.60744334035638,100.0,3776829.67389292
Senegal,2013,SEN,,11094257.641888002,0.315,3494691.1571947206,94.27228598217737,100.0,3707018.5800473844
Senegal,2014,SEN,,12592272.286314892,0.315,3966565.770189191,93.24447760088088,100.0,4253941.758532324
Senegal,2015,SEN,,13212944.18367226,0.315,4162077.417856762,93.3705552623932,100.0,4457590.946268175
Senegal,2016,SEN,,13057456.952353504,0.315,4113098.9399913535,94.15233286280072,100.0,4368557.650063735
Senegal,2017,SEN,,16492925.9539923,0.315,5195271.675507574,95.39340480234716,100.0,5446153.941430283
Senegal,2018,SEN,,20088964.78538312,0.315,6328023.907395683,95.8331547019009,100.0,6603167.689803875
Senegal,2019,SEN,20107532.83699389,20107532.83699389,0.315,6333872.843653076,97.51992509012182,100.0,6494952.531802815
Senegal,2020,SEN,,23824945.0983127,0.315,7504857.7059685,100.0,100.0,7504857.7059685
Senegal,2021,SEN,,25228510.42476701,0.315,7946980.783801608,102.180322781,100.0,7777408.181450093
Sierra Leone,2011,SLE,11210797.86217031,11210797.862170314,0.315,3531401.326583649,40.20029325868847,100.0,8784516.331408625
Sierra Leone,2012,SLE,,13459006.925282694,0.315,4239587.181464049,42.84859306026207,100.0,9894343.964810029
Sierra Leone,2013,SLE,,21170675.347793005,0.315,6668762.7345547965,45.21560452132909,100.0,14748808.083300116
Sierra Leone,2014,SLE,,24300285.946351405,0.315,7654590.073100693,47.31329735844302,100.0,16178517.458020153
Sierra Leone,2015,SLE,,19212070.43993169,0.315,6051802.188578483,50.47828992730089,100.0,11988920.776227405
Sierra Leone,2016,SLE,,10735396.408234743,0.315,3381649.868593944,55.97338733025675,100.0,6041531.573998512
Sierra Leone,2017,SLE,,8607707.499599034,0.315,2711427.862373696,66.17258336413789,100.0,4097509.4586425796
Sierra Leone,2018,SLE,7278148.402107966,7278148.402107969,0.315,2292616.7466640105,76.77974723995796,100.0,2985965.4779781294
Sierra Leone,2019,SLE,,4790244.750977408,0.315,1508927.0965578835,88.14698812013802,100.0,1711830.5783758874
Sierra Leone,2020,SLE,,6686790.223953214,0.315,2106338.9205452623,100.0,100.0,2106338.9205452623
Sierra Leone,2021,SLE,,11880835.335799595,0.315,3742463.130776872,111.87395888,100.0,3345249.5721467864
United Republic of Tanzania,2004,TZA,,3185092.160240531,0.315,1003304.0304757672,32.62086220625886,100.0,3075651.4776708335
United Republic of Tanzania,2005,TZA,,13943482.448329091,0.315,4392196.971223664,34.26318237897391,100.0,12818998.896958847
